Year, Month,"Tornadoes","Fatalities"
1975,09,846,59
1975,10,858,59
1975,11,896,59
1975,12,918,60
1976,01,12,0
1976,02,49,5
1976,03,231,26
1976,04,344,27
1976,05,499,35
1976,06,668,38
1976,07,752,40
1976,08,790,41
1976,09,825,44
1976,10,836,44
1976,11,836,44
1976,12,837,44
1977,01,5,0
1977,02,22,2
1977,03,86,2
1977,04,174,28
1977,05,402,32
1977,06,534,32
1977,07,634,33
1977,08,716,39
1977,09,782,40
1977,10,807,41
1977,11,831,41
1977,12,854,43
1978,01,23,2
1978,02,30,2
1978,03,47,2
1978,04,154,6
1978,05,367,13
1978,06,515,30
1978,07,658,41
1978,08,723,42
1978,09,743,48
1978,10,750,48
1978,11,758,48
1978,12,789,53
1979,01,16,0
1979,02,20,0
1979,03,73,1
1979,04,200,59
1979,05,312,61
1979,06,462,69
1979,07,594,70
1979,08,720,75
1979,09,789,77
1979,10,836,84
1979,11,857,84
1979,12,859,84
1980,01,5,0
1980,02,16,0
1980,03,56,2
1980,04,193,6
1980,05,397,14
1980,06,614,21
1980,07,709,26
1980,08,782,26
1980,09,819,27
1980,10,862,28
1980,11,865,28
1980,12,866,28
1981,01,2,0
1981,02,27,2
1981,03,60,3
1981,04,144,16
1981,05,331,16
1981,06,554,24
1981,07,652,24
1981,08,716,24
1981,09,742,24
1981,10,774,24
1981,11,781,24
1981,12,782,24
1982,01,18,1
1982,02,19,1
1982,03,79,7
1982,04,230,37
1982,05,561,51
1982,06,757,55
1982,07,852,55
1982,08,886,55
1982,09,924,57
1982,10,933,57
1982,11,952,57
1982,12,1049,64
1983,01,13,2
1983,02,54,3
1983,03,125,3
1983,04,190,9
1983,05,439,23
1983,06,617,25
1983,07,716,29
1983,08,792,29
1983,09,810,29
1983,10,823,29
1983,11,872,29
1983,12,930,34
1984,01,1,0
1984,02,28,0
1984,03,103,64
1984,04,279,97
1984,05,450,103
1984,06,693,117
1984,07,765,117
1984,08,812,117
1984,09,829,117
1984,10,878,121
1984,11,908,122
1984,12,912,122
1985,01,2,0
1985,02,9,0
1985,03,47,2
1985,04,182,7
1985,05,367,85
1985,06,449,88
1985,07,500,88
1985,08,608,91
1985,09,647,91
1985,10,665,91
1985,11,684,94
1985,12,687,94
1986,01,0,0
1986,02,30,2
1986,03,106,8
1986,04,190,10
